Id,Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
bufr4/3/09/001/1/3/01/037,09,Vertical sounding sequences (conventional data),309001,(Vertical wind profile),,301037,Land station for vertical soundings,"Identification, etc. (land station, high accuracy position)",,,Operational
bufr4/3/09/001/2/1/01/000,09,Vertical sounding sequences (conventional data),309001,(Vertical wind profile),,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/09/001/3/0/31/001,09,Vertical sounding sequences (conventional data),309001,(Vertical wind profile),,031001,Delayed descriptor replication factor,,,,Operational
bufr4/3/09/001/4/3/03/011,09,Vertical sounding sequences (conventional data),309001,(Vertical wind profile),,303011,Wind at height,,,,Operational
bufr4/3/09/002/1/3/01/038,09,Vertical sounding sequences (conventional data),309002,(Vertical wind profile),,301038,Land station for vertical soundings,"Identification, etc. (land station, coarse accuracy position)",,,Operational
bufr4/3/09/002/2/1/01/000,09,Vertical sounding sequences (conventional data),309002,(Vertical wind profile),,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/09/002/3/0/31/001,09,Vertical sounding sequences (conventional data),309002,(Vertical wind profile),,031001,Delayed descriptor replication factor,,,,Operational
bufr4/3/09/002/4/3/03/011,09,Vertical sounding sequences (conventional data),309002,(Vertical wind profile),,303011,Wind at height,,,,Operational
bufr4/3/09/003/1/3/01/037,09,Vertical sounding sequences (conventional data),309003,(Vertical wind profile),,301037,Land station for vertical soundings,"Identification, etc. (land station, high accuracy position)",,,Operational
bufr4/3/09/003/2/1/01/000,09,Vertical sounding sequences (conventional data),309003,(Vertical wind profile),,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/09/003/3/0/31/001,09,Vertical sounding sequences (conventional data),309003,(Vertical wind profile),,031001,Delayed descriptor replication factor,,,,Operational
bufr4/3/09/003/4/3/03/012,09,Vertical sounding sequences (conventional data),309003,(Vertical wind profile),,303012,Wind at pressure level,,,,Operational
bufr4/3/09/004/1/3/01/038,09,Vertical sounding sequences (conventional data),309004,(Vertical wind profile),,301038,Land station for vertical soundings,"Identification, etc. (land station, coarse accuracy position)",,,Operational
bufr4/3/09/004/2/1/01/000,09,Vertical sounding sequences (conventional data),309004,(Vertical wind profile),,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/09/004/3/0/31/001,09,Vertical sounding sequences (conventional data),309004,(Vertical wind profile),,031001,Delayed descriptor replication factor,,,,Operational
