ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
3,Instrumentation,3001,Surface station type,Code table,0,0,5,Code table,0,2,,,Operational
3,Instrumentation,3003,Thermometer/hygrometer housing,Code table,0,0,4,Code table,0,2,,,Operational
3,Instrumentation,3004,Type of screen/shelter/radiation shield,Code table,0,0,4,Code table,0,2,,,Operational
3,Instrumentation,3005,Horizontal width of screen or shield (x),m,3,0,16,m,3,5,,,Operational
3,Instrumentation,3006,Horizontal depth of screen or shield (y),m,3,0,16,m,3,5,,,Operational
3,Instrumentation,3007,Vertical height of screen or shield (z),m,3,0,16,m,3,5,,,Operational
3,Instrumentation,3008,Artificially ventilated screen or shield,Code table,0,0,3,Code table,0,1,,,Operational
3,Instrumentation,3009,Amount of forced ventilation at time of reading,m/s,1,0,9,m/s,1,3,,,Operational
3,Instrumentation,3010,Method of sea/water current measurement,Code table,0,0,4,Code table,0,2,,,Operational
3,Instrumentation,3011,Method of depth calculation,Code table,0,0,2,Code table,0,1,,,Operational
3,Instrumentation,3012,Instrument type/sensor for dissolved oxygen measurement,Code table,0,0,4,Code table,0,2,,,Operational
3,Instrumentation,3016,Position of road sensors,Code table,0,0,4,Code table,0,2,,,Operational
3,Instrumentation,3017,Extended type of station,Flag table,0,0,6,Flag table,0,2,,,Operational
3,Instrumentation,3018,Type of road,Code table,0,0,5,Code table,0,2,,,Operational
3,Instrumentation,3019,Type of construction,Code table,0,0,4,Code table,0,2,,,Operational
3,Instrumentation,3020,Material for thermometer/hygrometer housing,Code table,0,0,3,Code table,0,1,,,Operational
3,Instrumentation,3021,Hygrometer heating,Code table,0,0,2,Code table,0,1,,,Operational
3,Instrumentation,3022,Instrument owner,Code table,0,0,3,Code table,0,1,,,Operational
3,Instrumentation,3023,Configuration of louvers for thermometer/hygrometer screen,Code table,0,0,3,Code table,0,1,,,Operational
3,Instrumentation,3024,Psychrometric coefficient,K-1,6,0,10,K-1,6,3,,,Operational
3,Instrumentation,3025,Cross-track estimation area size,m,0,5000,16,m,0,5,,,Operational
3,Instrumentation,3026,Along-track estimation area size,m,0,5000,16,m,0,5,,,Operational
3,Instrumentation,3027,Type of flight rig,Code table,0,0,4,Code table,0,2,,,Operational
3,Instrumentation,3028,Method of snow water equivalent measurement,Code table,0,0,6,Code table,0,2,,,Operational
