Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
07,Surface report sequences (land),307001,(Low altitude station),,301031,"Identification and type of station, date/time, location (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),307001,(Low altitude station),,302011,Low altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),307002,(Low altitude station),,301032,"Identification and type of station, date/time, location (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),307002,(Low altitude station),,302011,Low altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),307003,(Low altitude station),,307001,Low altitude station,Location (high accuracy) and basic report,,,Operational
07,Surface report sequences (land),307003,(Low altitude station),,101000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),307003,(Low altitude station),,031001,Delayed descriptor replication factor,,,,Operational
07,Surface report sequences (land),307003,(Low altitude station),,302005,Cloud layer,,,,Operational
07,Surface report sequences (land),307004,(Low altitude station),,307002,Low altitude station,Location (coarse accuracy) and basic report,,,Operational
07,Surface report sequences (land),307004,(Low altitude station),,101000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),307004,(Low altitude station),,031001,Delayed descriptor replication factor,,,,Operational
07,Surface report sequences (land),307004,(Low altitude station),,302005,Cloud layer,,,,Operational
07,Surface report sequences (land),307005,(Low altitude station),,307001,Low altitude station,Location (high accuracy) and basic report,,,Operational
07,Surface report sequences (land),307005,(Low altitude station),,101004,Replicate 1 descriptor 4 times,,,,Operational
07,Surface report sequences (land),307005,(Low altitude station),,302005,Cloud layer,4 layers,,,Operational
07,Surface report sequences (land),307006,(Low altitude station),,307002,Low altitude station,Location (coarse accuracy) and basic report,,,Operational
07,Surface report sequences (land),307006,(Low altitude station),,101004,Replicate 1 descriptor 4 times,,,,Operational
07,Surface report sequences (land),307006,(Low altitude station),,302005,Cloud layer,4 layers,,,Operational
07,Surface report sequences (land),307007,(High altitude station),,301031,"Identification and type of station, date/time, location (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),307007,(High altitude station),,302012,High altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),307008,(High altitude station),,301032,"Identification and type of station, date/time, location (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),307008,(High altitude station),,302012,High altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),307009,,,301031,"Identification and type of station, date/time, location (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),307009,,,302013,Basic surface report,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,001063,ICAO location indicator,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,002001,Type of station,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,301011,"Year, month, day",YY,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,301012,"Hour, minute","GG, gg",,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,301024,"Latitude/longitude (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,007006,Height above station,Height of an anemometer,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,011001,Wind direction,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,011016,Extreme counterclockwise wind direction of a variable wind,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,011017,Extreme clockwise wind direction of a variable wind,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,011002,Wind speed,,,,Operational
