table,category,FXY1,FXY2,note (github),notation (manual),note (manual),note applies to,my comment
BUFR,00,n/a,n/a,n/a,2.1,"It is better to use different Class 00 descriptors for the defining and defined elements, in the same way as different descriptors correspond to pressure considered as a coordinate and pressure measured at a given point; otherwise special rules would be needed to interpret such message.",table,
BUFR,00,300003,000010,n/a,2.2,"Entries 0 00 010 to 0 00 012 define F, X and Y for Tables B and D.",element,
BUFR,00,n/a,n/a,n/a,3,"It could be argued that, as only additions are possible, only complete lines should be allowed; but it is conceivable that local areas will require changes as well as additions, so it is better and in any case clearer to provide descriptions for all the fields.",table,
CREX,00,n/a,n/a,n/a,2.1,"It is better to use different Class 00 descriptors for the defining and defined elements, in the same way as different descriptors correspond to pressure considered as a coordinate and pressure measured at a given point; otherwise special rules would be needed to interpret such message.",table,
CREX,00,D 00 003,n/a,n/a,2.2,"Entries B 00 010 to B 00 012 define F, X and Y for Tables B and D.",element,these elements don't exist in this table
CREX,00,n/a,n/a,n/a,3,"It could be argued that, as only additions are possible, only complete lines should be allowed; but it is conceivable that local areas will require changes as well as additions, so it is better and in any case clearer to provide descriptions for all the fields.",table,
BUFR,01,301027,31001,(see Note 5),5,"This replication factor shall have a value of ""1"" when a 2-D feature is being described, whereas 3-D features may be described via any one of the following methods:(a) Via two or more horizontal sections in successive ascending flight levels. In this case, each section shall be described by an identical number of latitude/longitude points listed in identical order (i.e. where each point x of section n is to be joined via a straight line to point x of section n+1), in order to ensure that the overall shape of the 3-D feature is unambiguously described. In this case, all values reported for 0 33 042 shall be ""missing"".(b) Via a single horizontal section with an appropriate value reported for 0 33 042, as follows. In all such cases, the corresponding horizontal section description applies throughout the entire region.(i) A value of ""0"" to indicate a region above (but not including) the reported flight level and with unspecified upper bound.(ii) A value of ""1"" to indicate a region above (and including) the reported flight level and with unspecified upper bound.(iii) A value of ""2"" to indicate a region below (but not including) the reported flight level and extending to the surface. (iv) A value of ""3"" to indicate a region below (and including) the reported flight level and extending to the surface.(c) Via two replications of the same horizontal section at the same reported flight level, in order to indicate a region extending both below and above (and including!) the reported flight level. In this case, the values reported for the two replications of 0 33 042 shall be as follows:(i) Values of ""3"" and ""1"", respectively, to indicate a region beginning from below a reported flight level,but continuing through that level upward to some unspecified point above (e.g. TOP ABV FL100).(ii) Values of ""1"" and ""3"", respectively, to indicate a region beginning from above a reported flight level,but continuing through that level downward to some unspecified point below (e.g. CIGS BLWFL010).",element,
BUFR,01,301028,31002,(see Note 6),6,"This replication factor shall have a value of ""1"" when a circle or point is being described, and it shall have a value of ""2"" when a line is being described. A polygon, on the other hand, shall be described via a sequence of three or more contiguous points in accordance with the note to code table 0 08 007.",element,
BUFR,01,301028,19007,(see Note 7),7,"The value reported for 0 19 007 shall be ""missing"" unless the horizontal section being described is a circle.",element,
BUFR,01,301065,1006,(see Note 10),10,"As supplied by originating sub-centre ARINC, this value is a pseudo-value rather than the actual value. The Relationship between this pseudo-value and the true value is known only by ARINC.",element,
