Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,Status,translated_by
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18001,,,D01025,"Latitude/longitude (faible précision), jour/heure",,,Operational,"AI Translator: rag_cache, Glossary Used (3 terms)"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18001,,,B24011,Dose,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18003,,,D01026,"Latitude/longitude (précision élevée), période (jour, heure, minute)",,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18003,,,B24005,Masse isotopique,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18003,,,B24004,Nom de l'élément,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18003,,,B24021,"Concentration dans l'air (du type d'isotope désigné, y compris la dose bêta brute)",,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18004,,,D01025,"Latitude/longitude (faible précision), jour/heure",,,Operational,"AI Translator: rag_cache, Glossary Used (2 terms)"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18004,,,B04023,Période ou décalage dans le temps,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18004,,,B13011,Précipitations totales/valeur totale de l'équivalent en eau,,,Operational,"AI Translator: rag_cache, Glossary Used (3 terms)"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18004,,,B24005,Masse isotopique,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18004,,,B24004,Nom de l'élément,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,D18004,,,B24022,Concentration dans les précipitations (du type d'isotope désigné),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
