noteID,note (manual),association
0,,"05, 11, 13, 18, 21, 22"
1,3 04 035 is deprecated.,"{04, 304035, n/a} "
2,3 07 082 is deprecated.,"{07, 307082, n/a} "
3,3 10 027 is deprecated.,"{10, 310027, n/a} "
4,"Additional descriptors are required to reduce the workload with respect to the station database, e.g. for identification of the federal state and identification of the highway.","{07, 307102, n/a} "
5,"As supplied by originating sub-centre ARINC, this value is a pseudo-value rather than the actual value. The Relationship between this pseudo-value and the true value is known only by ARINC.","{01, 301065, 001006} {01, 301065, 001008} {01, 301065, 1006} {01, 301065, 1008} "
6,Code table values: FRQ = code figure 8 (8 oktas) OCNL EMBD = code figure 6 (6 oktas) ISOL = code figure 2 (2 oktas) when the cloud = Cb.,"{16, 316006, 20011} "
7,"Compound BUFR messages may be described within the data description section, if required (e.g. 3 01 041, 3 04 001, 3 04 002, 3 04 003, 3 04 004, 3 04 005, 3 04 006).","{12, n/a, n/a} "
8,Data represented by this sequence should be sorted in descending order with respect to pressure.,"{09, 309056, 303056} "
9,Date/time of launch indicates date/time of start of descent measurement.,"{09, 309056, 301113} "
10,"Decibel (dB) is a logarithmic measure of the relative power, or of the relative values of two flux densities, especially of sound intensities and radio and radar power densities. In radar meteorology, the logarithmic scale (dBZ) is used for measuring radar reflectivity factor (obtained from the American Meteorological Society Glossary of Meteorology).","{16, n/a, n/a} "
11,Descriptor 3 01 002 should not be used.,"{01, 301002, n/a} "
12,Descriptor 3 01 055 should be used instead of 3 01 035 to encode moving buoy/platform information.,"{01, 301035, n/a} "
13,Descriptor 3 08 007 should be used instead of 3 08 003 to encode moving buoy/platform information.,"{08, 308003, n/a} "
14,Descriptor 3 40 010 should be used in preference to 3 40 005.,"{40, 340005, n/a} "
15,Descriptors 3 03 021 to 3 03 027 are not available in CREX.,"{03, 303021, n/a} {03, 303027, n/a} "
16,Each BUFR message may contain data for a number of locations; the BUFR compression technique involves negligible overheads for data items that are invariant.,"{12, n/a, n/a} "
17,Each position of road sensors includes the measurements of:- Road surface temperature- Road subsurface temperatures- Water film thickness- Road surface condition,"{07, 307102, 003016} "
18,"Entries 0 00 010 to 0 00 012 define F, X and Y for Tables B and D.","{00, 300003, 000010} "
19,"Entry 0 00 030 is a descriptor used as data and provides the F, X and Y values defining a sequence for Table D entries.","{00, 300015, 000030} "
20,For MOD OCNL SEV code as 12 (extreme in clear air) or 13 (extreme in cloud).,"{16, 316004, 011031} "
21,Front direction (towards which the front is moving) must always be given as it is needed for plotting purposes. A front direction with a front speed of zero would indicate a slow front. A value in the code table exists to represent a quasi-stationary front.,"{16, 316007, 8011} "
22,Full directional spectra (Ib = 1 in WAVEOB with more than one direction per wavenumber band). The replication count is the number of directions per wavenumber band that should normally cover the full circle.,"{08, 308015, 105000} {08, 308016, 105000} "
23,"However, if required by shipping companies when voluntary observing ships (VOS) are recruited or if subsequently requested, for ship reports using template 3 08 014 the ship call sign or other identifier can be encrypted in BUFR reports using sequence 3 01 018 according to the following method:- The normal call sign (i.e. descriptor 0 01 011) shall be encoded with missing value;- The encryption method shall be indicated using the method indicated by 0 25 185;- The version of the encryption key that is used shall be indicated by 0 25 186.","{01, 301018, 001114} "
24,"If field 0 01 011 is used, this field will be left missing and vice versa.","{15, 315004, 001087} "
25,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.","{07, 307071, 7032} {07, 307072, 7032} {08, 308011, 7030} {08, 308011, 7031} {08, 308011, 7032} {08, 308011, 7033} {08, 308012, 7032} {08, 308012, 7033} "
26,"If the radiosonde is equipped with a relative humidity sensor, 0 13 009 in the sequence shall be reported as mandatory and dewpoint temperature may be included as a derived value. If the radiosonde is equipped with a dewpoint temperature sensor, 0 12 103 in the sequence shall be reported and 0 13 009 shall be set to a missing value.","{09, 309055, 303055} "
27,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.","{07, 307071, 4003} {07, 307071, 4004} {07, 307071, 4023} {07, 307072, 4003} {07, 307072, 4004} {08, 308011, 4003} {08, 308011, 4004} {08, 308011, 4023} {08, 308012, 4003} {08, 308012, 4004} "
28,"In the context of 3 10 067, pressure values which immediately follow occurrences of wind components should be understood to pertain to those components.","{10, 310067, 1033} "
29,"In this instance, the term ""thinning"" refers to a method that may be applied to select a subset of levels from a model that may have many native vertical levels. Selecting only a subset reduces the size of the pseudo-sounding, at the possible cost of information loss and extra processing.","{09, 309070, 025031} "
30,"In this sequence for representation of radiosonde descent data, indication of standard levels using the extended vertical sounding significance (0 08 042) is not mandatory.","{09, 309056, 303056} "
31,"Integer, assigned by the operator, incremented for each new transect (i.e. all drops have the same transect number while the ship is moving from one end point of the line to the other end point; as soon as the ship arrived to port and goes back to start a new transect then transect number is incremented). The initial value and subsequent values for transect numbers do not matter provided that each new transect by a ship on a line has a transect number higher than previous transect numbers for the same line and the same ship. In case a single cruise follows more than one SOOP line in a row, then the transect number should be incremented each time the cruise changes line.","{15, 315004, 005036} "
32,"It could be argued that, as only additions are possible, only complete lines should be allowed; but it is conceivable that local areas will require changes as well as additions, so it is better and in any case clearer to provide descriptions for all the fields.","{00, n/a, n/a} "
33,"It is better to use different Class 00 descriptors for the defining and defined elements, in the same way as different descriptors correspond to pressure considered as a coordinate and pressure measured at a given point; otherwise special rules would be needed to interpret such message.","{00, n/a, n/a} "
34,Latitude displacement 0 05 015 in the sequence represents the latitude offset from the latitude of the launch site. Longitude displacement 0 06 015 in the sequence represents the longitude offset from the longitude of the launch site.,"{03, n/a, 005015} {03, n/a, 006015} {09, 309055, 303055} "
35,Long time displacement 0 04 086 in the sequence represents the time offset from the launch time 3 01 013 (in seconds).,"{03, n/a, 004086} "
36,Long time displacement 0 04 086 in the sequence represents the time offset from the launch time 3 01 113 (in seconds).,"{09, 309055, 303055} "
37,Missing for non-directional spectra.,"{08, 308015, 22186} {08, 308015, 22187} {08, 308016, 22186} {08, 308016, 22187} "
38,n/a,"{08, 308017, 302064} "
39,Non-directional spectra (Ib = 0 in WAVEOB) or partial directional spectra (Ib = 1 in WAVEOB with one direction per wavenumber). Count = 0 (full directional spectra) or 1 (non-directional spectra or partial directional spectra). Partial directional spectra have only one direction per wavenumber band.,"{08, 308015, 105000} {08, 308016, 105000} "
40,"Non-surface levels on the model’s native vertical coordinate are transposed to pressure coordinate. This makes the levels more readily intelligible for human interpretation and easier to use by generic display applications. The levels may correspond exactly to native model levels, or be interpolated between modellevels to pressure levels chosen by the generating centre.","{09, 309070, 007004} "
41,"Normally 1, may be 2 if both heave and slope sensors are in use, or 0 if no spectral data.","{08, 308015, 31001} {08, 308016, 31001} "
42,Range of value for parameter 0 04 015 limited from -99 to 99; CREX common sequence D 06 019 being the original sequence with 2 characters only for the corresponding descriptor.,"{06, 306019, 004015} "
43,Separation of single level satellite data into sets of BUFR messages helps compression and results inefficient data transmission and storage.,"{12, n/a, n/a} "
44,Sequence 3 09 030 is deprecated because of incorrect usage of descriptor 0 04 015; sequence 3 09 031 should be used instead.,"{09, 309030, n/a} "
45,"Some types of stations do not have the ability to identify the surface condition accurately. They can only report conditions such as ""not dry"" or ""glazed"". The code table for road surface conditions has been adjusted accordingly.","{07, 307102, 020138} "
46,The encryption keys will be managed by the Joint WMO/IOC Technical Commission for Oceanography and Marine Meteorology Focal Point on Ship Masking.,"{01, 301018, 001114} "
